printcount,,ref,fronttext,frontflavour,roleplaying,mechanical,religious,relicon,printrun,,,,
3,Mark of Unity,M030,Mark of Unity,,You feel you and the person you are bound to are the same being,"Your distinct flesh has knitted into one. You are bound together physically and cannot be separated by any physical means. You both gain +2 Vitality, +1 Might (if you have any) and +1 Mana (if you have any). If one of you is unconscious or dead, the other is too.",The Perfect Flesh,prf,norm,BAL02,Pisses of the twins of balance,,
3,Mark of the Covenant,M031,Mark of the Covenant,,You feel steadfast in your convictions.,"Your religious alignment cannot be changed until this mark is removed, even if your God should fall.",None,,norm,GOD02,,,
4,Mark of Dreaming,M032,Mark of Dreaming,,Your believe your dreams allow you to relive the past lives of the Gods,"Each time you take Bog Spice, take HEAL 1. If you have multiple of these marks their effects stack.","Callista, The Bog Witch",bog,norm,"BOG02, rewarding acting like Bog Witch",,,
1,Mark of Transformation,M033,Mark of Transformation,,You feel yourself changing physically and becoming a new creature.,"You respond to IDENTIFY as ""Mutant"". If you have this mark on the final day of the event, see the Head Ref.",The Magus,,norm,"BOG02, from the Magus","On the final day of the event people with this mark gain wings, +2 Mana and +1 Vitality",,
10,Mark of Doom,M034,Mark of Doom,,"You feel you are a spent force, every ounce of strength has been drawn from you.",You are under the effect of WEAKEN. This mark cannot be removed by Snake Oil.,None,,norm,From using the OBLIVION call.,,,
12,Mark of the Chosen,M035,Mark of the Chosen,,You are the Chosen of a God.,"You respond to IDENTIFY as ""Demigod"". You cannot change your religious alignment. Everywhere in your reach is Holy Ground. You may enter the Temple and commune with your God. This Mark cannot be removed, doubled or suppressed. If you are killed, inform the killer to see a ref.",Your God,,norm,Various,,,
1,Mark of the Custodian,M036,Mark of the Custodian,,You feel your soul connected to a great web of other lifeforms,You may convert Vitality into Mana on a one-to-one basis.,The World Tree,,norm,GOD06,,,
1,Mark of the Scholar,M037,Mark of the Scholar,,You feel an insatiable sense of curiousity,"You may learn two Lesser Spells, which you may cast using Mana you have.",The Skywise Father,,norm,GOD06,,,
1,Mark of the Explorer,M038,Mark of the Explorer,,You feel confined by the Bastion and a desire to be free,You may ignore the travel requirements on gate openings and do not count towards the number of permitted players. You still require a voyager token.,Altasor,,norm,GOD06,,,
1,Mark of the Slayer,M039,Mark of the Slayer,,You feel the power of a the God's protection over you,You may call IMPALE with a two handed weapon without expending any Might against any creature you have IDENTIFIED as Undead,Nychta ,,norm,GOD06,,,
1,Mark of the Knight,M040,Mark of the Knight,,You have left your body behind for a higher more pure from of existence.,You are immune to physical damage. You don't regain Vitality from Refresh. If this Mark is removed or your devotion is not to Brothvar you instantly die. When you die you disappear leaving no soul or body. ,Brothvar the Eternal One,brv,norm,BRV07,,,
4,Mark of Family,M041,Mark of Family,,You are confident in all of your religious convictions and find it hard to think ill of your family.,When you take damage you gain one charge of FLAME that you can deliver via melee weapon. These charges are lost when you receive a REFRESH.,The Blooded Mother.,bld,norm,BLD07,,,
4,Mark of Nightmare,M042,Mark of Nightmare,,You feel twitchy and anxious,"Whenever you take Bog Spice you may suppress all roleplaying effects caused by Marks aligned to ""Callista the Bog Witch"". If you do not take Bog Spice every hour, gain one level of Toxcity","Callista, The Bog Witch",bog,norm,BOG07,,,
2,Mark of Transit,M043,Mark of Transit,,You feel that you were never meant to see this world. You find yourself speculating about other paths your life could have taken when alone.,While you bear this mark you can give your travel token to another character. They will then be able to use it to pass through the gate as usual. If not used before the next meal it will return to you.,Guile Fox,,norm,Really specific alchemical fuckery with Foxthorn.,,,
1,The Eternal Fire,F000,A fire,A blazing fire. A source of immense spiritual power.,,"If you throw anything into this fire, see a ref",,,norm,,Ormr,,
4,Fallen Heroes Blade,F001,A blade,This blade brings oozes with the power of departed heros,,"While you wield this blade (which may be phys-repped by a weapon no longer than 42"") you have +2 Might which you may expend to call CLEAVE",,,norm,Scavenger,,,
4,Seed of a Lost World,F002,A Seed,A Seed which resonates with strange energy,,"If you eat or plant this seed, see a ref",,,norm,Scavenger,"Obtained by Scavenger. If eaten, experience a vision of a random former world (consult Epoch Book) if planted, a Holy Site from that world appears.",,
4,Black Sludge,F003,A foul smelling sludge,,,The next blow dealt by a weapon coated in this calls VENOM,,,norm,Scavenger,,,
1,Rosette of Eridu,F004,A Rosette,"""Best in show"". Has the word Eridu on the reverse.",While you wear this you are very aware of your value to and place in the community.,,,,norm,Quest. Happy Pig has it.,Strongly linked to the power of Eridu.,,
1,Haft of a Spear,F005,Spear Haft,The haft of a spear. It looks like it may have spent some time underwater.,,,,,norm,GOD06,Religious alignment to Aquae,,
1,Spear head,F006,Spear Head,The head of a spear. It looks like it may have sent some time underwater,,,,,norm,GOD02,Religious alignment to Aquae,,
1,Spear,F007,Spear,This spear always feels slightly moist. ,,"You may not call damage, SLAY or SACRIFICE with this weapon. If you strike an WOUNDED character with this weapon call HEAL 10.",,,norm,Combine the two parts.,"Religious alignment to Aquae, can be turned back into a God-Killing Spear by being covered in Snake Oil",,
3,Snake Milk,F008,Liquid,Sickly looking white liquid,,"Drink it, take TOXICITY 4 and double either your MIGHT or MANA until you lose TOXICITY",,,norm,Ormr encounter milking a snake,,,
1,Amulet of Magical Ascension,F009,Amulet,An Amulet Pulsing with Magical Potential,,You may sacrifice 10 mana to this item to gain the Mark of Divinity. If you do your maximum mana returns to the amount you had at time in.,,,norm,As of yet unplanned encounter?,The thing that lets you ascend by giving up a lot of mana. ,,
1,Amulet of Bodily Ascension,F010,Amulet,An Amulet pulsing with the rhythm of a heartbeat,,You may sacrifice 10 viltality to this item to gain the Mark of Divinity. If you do your maximum vitality returns to the amount you had at time in.,,,norm,As of yet unplanned encounter?,The thing that lets you ascend by giving up a lot of hits. ,,
1,Brothvar's Blade,F011,A blade,This blade bears the weight of upholding your honor.,,When you defeat a foe in one on one combat you may restore all of your expended Might.,,,norm,Black Knight Quest (BRV02),Possibly change to a sacrificial sword,,
1,Badger Heart,F012,A heart,From a large animal,,"If you consume this, your maximum mana increases by two.",,,norm,Meat Forest (PIG02),,,
1,Venom Bear Gland,F013,Large Gland,,,"If you consume this, your vitality drops to 0 and you take an immediate VENOM",,,norm,Meat Forest (PIG02),,,
1,Mind Eel Skin,F014,Remains of a large eel,,,"If you consume this, you take WEAKEN and take HEAL ONE every minute until you remove this WEAKEN",,,norm,Meat Forest (PIG02),,,
1,Ambrosia,F015,Food,"This food appears, tastes and smells like your favourite dish",,"If you consume this, you no longer have a bleed timer, and can remain WOUNDED forever; until killed or healed",,,norm,Pig Meeting (PIG03),,,
1,Armour of Poison Defence,F016,Leather Armour,,,While you wear this armour you may call RESIST against a VENOM call once per refresh.,,,norm,TYR01,,,
1,Eridu's Almanac,F017,An Ornate Almanac,,,If you read the blessing from this book at the Eternal Fire see a ref.,,,norm,ERD01,Consecrates the fire to Eridu if used and grants her a power boost beyond the normal consecration level. Cannot be used for any other god. ,,
1,God-Binding Chains,F018,Chains,Of great weight and power,,If you bind someone with these chains tell a ref. They cannot be broken by mundane means. ,,,norm,"ERD02, ERD03",Any deity bound with these chains is unable to ascend or use its divine powers. ,,
1,Crossbow,F019,Mechanical Bow,This strange device is alarmingly easy to use,,Anyone may use this weapon as long as they give thanks to Eridu when they do so. You can use this weapon to call IMPALE once every 10 seconds. If you use this weapon to SLAY someone you regain +1 Might and +1 Mana to your maximum. ,,,norm,ERD05,,,
1,Belt,F020,A belt,"This belt looks like it may once have been part of a bridle. While worn you feel driven to get moving, literally or metaphorically, on your goals.",,You may spend Serpents Blood as if it were mana on a one to one basis. ,,,norm,OUR02,Linked to Ouroborous. ,,
1,Twin Blade,F021,A blade,"This short blade (max 24"") is only half of a pair",,While you can see the wielder of the identical blade you can use a Heroism skill at no cost once per REFRESH,,,norm,BAL02,Linked to Twins,,
1,Twin Blade,F022,A blade,"This short blade (max 24"") is only half of a pair",,While you can see the wielder of the identical blade you can use a Heroism skill at no cost once per REFRESH,,,norm,BAL02,Linked to Twins,,
3,Etched Bones,F023,Etched Bones,These bones are etched with strange runes,,"If your religious alignment is Aegoras, you may perform rites using this instead of Serpents Blood.",,,norm,GOD02,,,
3,Blessed Beans,F024,Blessed Beans,These beans look good to eat!,,"If your religious alignment is The Living Tower, you may perform rites using this instead of Serpants Blood. If you eat these, see a ref.",,,norm,GOD02,Eating this is not wise; probably some kind of plantlike transformation.,,
3,Holy Water,F025,Holy Water,This water seems to shine with holy power,,"If your religious alignment is Aquae, you may perform rites using this instead of Serpants Blood. If you drink this take REFRESH then take IMPALE after five minutes.",,,norm,GOD02,,,
1,Duelling Pistol,F026,Device,A strange metal tube with a pouch of black powder,,"If you have the skill ""Musketeer"" you may use this to call IMPALE using the normal firearms rules. Reload 10 seconds.",,,norm,Nathan's Soulless,Just a way for me to deal with unruly players IC,,
1,Spear of Deicide,F027,Spear,A Dread Spear that gives its wielder a foreboding sense of doom,,"You may expend Might to make the OBLIVION call with this spear any time you could call SLAY. Once you have used this property you cannot use it again until you have coated the spear in Serpent's Blood (requiries two units) this must be done at the Eternal Fire. If you have used the OBLIVION call, see a ref.",,,norm,Rub F007 in Snake Oil,"Oblivion kills Gods, has no effect on Soulless and SLAYs everything else. Anyone who uses it gets a Mark of Doom (M034).",,
1,Wand of the Apocalypse,F028,Wand,A dread wand that gives its wielder a foreboding sense of doom.,,"If you are able to cast at least one Greater Spell, you may expend Mana to make the OBLIVION call with this wand any time you could call SLAY. Once you have used this property you cannot use it again until you coated the wand in Serpent's Blood (requires two units) this must be at the Eternal Fire. If you have used the OBLIVION call, see a ref.",,,norm,Combine F032 + F033 by spending at least 5 mana.,"Oblivion kills Gods, has no effect on Soulless and SLAYs everything else. Anyone who uses it gets a Mark of Doom (M034).",,
1,The Void Bow,F029,Bow,A dread bow that gives its wielder a foreboding sense of doom,,"You may expend Vitality to make the OBLIVION call with this bow any time you could call SLAY. Once you have used this property you cannot use it again until you have coated the spear in Serpent's Blood (requiries two units) this must be done at the Eternal Fire. If you have used the OBLIVION call, see a ref.",,,norm,Combine Underworld Heartstrings and Great Bow and soak them in Serpent's Blood,"Oblivion kills Gods, has no effect on Soulless and SLAYs everything else. Anyone who uses it gets a Mark of Doom (M034).",,
1,Underworld Heartstrings,F030,String-like substance,Heartstrings of a creature that once guarded the underworld. They could be woven into bow-strings.,,,,,norm,CRV02,Religious alingment to Ormr. Used to make the Void Bow.,,
1,The Great Bow,F031,Bow,A bow that seeks out foul creatures,,While you wield this bow you may call MASS DETECT BEAST at will,,,norm,GEN08,,,
1,Runic Bone,F032,Bone,A bone etched with strange runic symbols,,"You may use Serpents Blood to transfer a mark you possess onto another by drawing it using this bone, a process that takes one minute. Marks that cannot be removed may not be transferred this way.",,,norm,PRF01,Used to make Wand of the Apocalypse.,,
1,Void Crystal,F033,Black Crystal,It seems to hold strange power,,,,,norm,ALC02,Used to make Wand of the Apocalypse.,,
1,Supply Pouch,F034,Pouch,A pouch of supplies,,If you scavenge while using this pouch you gain double the usual supplies,,,norm,GOD06,,,
1,Broken Blade,F035,Broken Blade,A blade broken against a monster's hide,,This blade may serve as a short weapon and cannot be DISARMED,,,norm,GOD06,,,
1,Potion Vial,F036,Vial,An Old Potion Vial,,Potions drunk from this Vial have their toxicity reduced by 1,,,norm,GOD06,,,
1,Beast Pelt,F037,Animal Skin,It's particularly impressive,,,,,norm,"GEN09, GEN10, GEN11",For the beastmaster quest. ,,
1,Chain of Command,F038,Chain,Light decorative chains. ,,Once per refresh you may RESIST a COMMAND on you by loudly calling on your fealty to your leige.,,,norm,TYR07,,,
4,Mind Eel Egg,F039,Egg,Some Sort of Egg,,"If you have this in your possession at the end of a meal, see a ref",,,norm,PIG02,Hatches into F040 Baby Mind Eel,,
4,Baby Mind Eel,F040,Eel,A small Eel creature,,"If you have this in your possession you cannot cast spells and believe that you are a ""Servent of the Eel"" with no purpose beyond protection of this creature. This item can be destroyed by CLEAVE.",,,norm,Hatched from F039,,,
1,Ring of Bounty,F041,Ring,It's obviously magical,,After each meal this ring produces a sparkling gem. See a ref.,,,norm,BRV07,Produces F045,,
1,Blade of Fire,F042,Blade,It's red hot to the touch,,You may call FLAME with this weapon,,,norm,BRV07,,,
1,Band of Intellect,F043,Band,A band that strengthens the mind,,Whenever you HEAL regain the same amount of mana,,,norm,BRV07,,,
1,Blade of Lifedrinking,F044,Short weapon,"A bloody short weapon. (Max length 24"")",,"Whenever you SLAY someone with this weapon take HEAL 10, then immediately take WEAKEN",,,norm,BRV07,,,
1,Sparkling Gem,F045,Gem,Both shiny and rare,,You may crush this gem to regain one Might or One Mana,,,norm,From F041,,,
1,Jewelled Skull,F046,Jewelled Skull,,,"If you sleep with this item in your possession, see a ref in the morning",,,norm,BRV07,Grants a dream of a past world.,,
1,Carved Statuette,F047,Carved Statuette,,,"If you throw this into the Eternal Fire, you must call MASS FLAME three times. You are affected by this call as normal.",,,norm,BRV07,,,
1,Strange Charm,F048,Strange Charm,,,"The first time you are WOUNDED while this charm is in your possession, you vanish and re-appear at the Eternal Fire. This charm is destroyed by the process.",,,norm,BRV07,,,
1,Hulk Potion ,F049,Effervescent Majestic Potion,,,If drunk see a ref. If poured on the Eternal Fire see a ref. ,,,norm,ALC07,"Until the next REFRESH, the person who drunk the potion retains the same weapon usage but is now berserk and will attack all but their closest allies/friends, with little or no regard for their own safety. They should have veins. if poured on the Erternal Fire will give a boost to the Alchemist",,
1,Blooded Bandages,F050,Bloodied Bandages,The blood on these bandages is dried and cannot be cleaned from them by normal means.,,"If you bind two peoples hands with this item they then count as being biological family. A ref is not needed for this ritual, but it should be obvious and call on the Blooded Mother.",,,norm,BLD07,,,
5,Snake Legs,F051,Snake,This snake is also a leg. ,,Can be consumed to remove a CLEAVE to a leg. ,,,norm,GEN14,,,
1,Vambrace of Guarding,F052,Vambrace,Made by a Master smith,,"If you may wear heavy armour, the limb protected by this vambrace is immune to CLEAVE",,,norm,GEN07,,,
1,Cowl of the Dreamer,F053,Sleep Mask,,,"If you sleep with this item in your possession, see a ref in the morning",,,norm,BOG07,"If the person was aligned to Calista, then they get a dream-audience with them. If they were alinged to anyone else, they recieve ",,
1,Caged Bird,F054,Skeletal Bird in Cage,It doesn't move while you are looking.,,Once per meal you may feed this cage any items that will fit inside it. They are consumed and should be given to a ref. At the next meal new items of similar worth will be disgorged,,,norm,CRV07,,,
1,Master Crafted Armour,F055,Armour,This armour is unusually decorated and elegant. ,,If you identify as a townsfolk this amour can be worn without the relevant skills. If you identify as a farmer it grants 1 additional Vitality.,,,norm,ERD07,,,
1,Snake Skin,F056,Snake Skin,,,"While you have this item, once per meal you can restore all MIGHT or MANA when you become WOUNDED. ",,,norm,ERD07,,,
1,Cup of Ormr,F057,Ornate Cup,Previously used for religious ceremonies of Ormr,,"If you perform a rite using this cup, tell a ref. ",,,norm,ORM01,"If not devoted to Ormr take VENOM on the rites' completion. If devoted to Ormr, the rite targets an additional person. Benediction removes an additional mark, shedding skin allows another person to change skills, banishment creates additional oil and cleansing targets another person.",,
3,Ormr's Venom,F058,Venom,,,"If added to a potion, that potion's toxicity becomes 5. If you die due to Toxicity caused by this effect, see the Head Ref. ",,,norm,ORM02,"Dying to this triggers ORM04, an encounter that involves only Nathan and sees the player become a bad version of the soulless. ",,
1,Ormr's Heart,F059,Heart,The Preserved Heart of the Divine,,"If you consume this heart, once per meal you may injure yourself to bleed Serpent's Blood. In addition you gain +1 Vitality, Might and Mana. ",,,norm,ORM02,,,
2,Ormr's Fang,F060,Fang,A fang of the God Ormr,,"You may attach this item to a melee weapon, if you do while holding that weapon you may expend might to call VENOM. ",,,norm,ORM02,,,
1,Ashes of Ormr,F061,Some Ashes. ,,,"You may throw a pinch of these into the Eternal Fire during the preparation of a potion. If you do, tell a Ref. There are enough ashes to do this any number of times. ",,,norm,ORM03,"Has no effect except on P018, Black Viscous Mixture. In that case it changes the vision witnessed if the visionary is aligned to Ormr. If these conditions are fulfilled the visionary sees important moments from their life from an outside view and feel judged. If they OC know why they were not taken by Ormr they now know IC. If they don't know OC then you instead learn that you did nothing wrong and were simply left behind to fill a quota or apparently forgotten.",,
1,Snat,F062,A snake cat,Very cute. Very sharp.,,"This animal has one hit and will die if it takes damage and is not healed within 1 minute. It will become angry if you move faster than a walk, speak above a whisper, or engage in any physical exertion while holding it. While angry it deals 1 hit per minute to a person holding it. ",,,norm,GEN18,,,
1,Helm of Brilliance,F063,Golden helm,Intricately designed,,"While you wear this helm you may negate one VENOM or WEAKNESS per REFRESH while you are in an honourable duel, or if you believe the attacker has interupted such a duel in the last hour. ",,,norm,GEN20,,,
30,Blood Fruit,H001,Blood Fruit,,,Eating this fruit or drinking its juice you get a HEAL 2 after 5 minutes. ,,,micro,,1,,
30,Fang Leaf,H002 ,Fang Leaf,,,Chewing this herb allows you to call CLEAVE once in the next five minutes.,,,micro,,1,,
30,Lotus Blossom,H003,Lotus Blossom,,,Eating this fuit will make you feel lethargic and dulls pain. For five minutes you are able to communicate while WOUNDED.,,,micro,,1,,
30,Summer Root,H004,Summer Root,,,Chewing this root makes you feel engergised and more willing to take risks. ,,,micro,,1,,
,,,,,,,,,micro,,,,
20,Scarwood Bark,H005,Scarwood Bark,,,Applied as a poultice this bark acts as a HEAL 2. ,,,micro,,2,,
20,Bog Spice,H006,Bog Spice,,,When consumed you should see the refs for a vision. ,,,micro,,2,,
,,,,,,,,,micro,,,,
10,Serpent Vine,H007,Serpent Vine,,,When consumed this herb allows you to resist the next spell cast on you within 5 minutes.,,,micro,,3,,
10,Scale Petals,H008,Scale Petals,,,Eating this herb restores 1 Might and/or 1 Mana. This is NOT a REFRESH. ,,,micro,,3,,
,,,,,,,,,micro,,,,
3,Foxthorn,H009,Foxthorn,,,This herb is not familiar to you. It can be added to a potion along with exactly two other herbs by a character with the Apothecary skill. ,,,micro,Any potion made with it will have its effect changed to reflect the theme of travel in time and space. (See relevant Tab),X,,
,,,,,,,,,micro,,,,
50,Serpent's Blood,H010,Serpent's Blood,,,"If you have the relevant skill, you may use this to perform rites at the Fire",,,micro,,N/A,,
,,,,,,,,,micro,,,,
4,Pure Bog Spice,H011,Odd Bog Spice,,,"If you consume this or add it to a potion, see a ref.",,,micro,"Obtained on the Bog Witch encounter, if consumed there is used to participate in the encounter further. If consumed at the Bastion or somewhere that is not the right place, the player experiences visions once per hour, every hour; as well as an unpleasant cacophony of noise. Counts as Bog Spice when added to a potion but the resulting potion causes the additional effect of experiencing visions while you have any toxicity. ",N/A,,
,,,,,,,,,micro,,,,
100,A Soul,H012,______'s Soul,,,The Soul of ________ Sacrificed to _____________,,,micro,Need a fuck tonne,N/A,,
15,Snake Oil,H013,Snake Oil,,,"You may anoint a person with this to remove their religious alignment, or sprinkle it over some holy ground to deconsecrate it",,,micro,,N/a,,
1,Cryptographic Hash,H014,Cryptographic Hash,,,Li brx shuvrqdoob ghfrghg wklv odpplh brx pdb xvh lw dv Vhushqwv Eorrg. ,,,micro,Plaintext: If you personally decoded this lammie you may use it as Serpents Blood. ,n/a,,
1,Cryptographic Hash,H015,Cryptographic Hash,,,Fc vlr mboplkxiiv abzlaba qefp ixjjfb vlr jxv rpb fq xp Pbombkqp Yilla.,,,micro,Plaintext: If you personally decoded this lammie you may use it as Serpents Blood. ,n/a,,
1,Cryptographic Hash,H016,Cryptographic Hash,,,Nk dtz ujwxtsfqqd ijhtiji ymnx qfrrnj dtz rfd zxj ny fx Xjwujsyx Gqtti.,,,micro,Plaintext: If you personally decoded this lammie you may use it as Serpents Blood. ,n/a,,
10,wet,P001,Black Slimy Mixture,,,"You RESIST the next FLAME call made against you today, taking no damage from it. TOXICITY 1.",,,norm,,1,,
10,no weak,P002,Watery Green Concoction,,,When you drink this potion any WEAKEN effect is removed. TOXICITY 1.,,,norm,,1,,
10,no cleave,P003,Disgusting Violet Mixture,,,When you drink this potion any CLEAVE effect is removed. TOXICITY 1.,,,norm,,1,,
10,spicy mute,P004,Viscous Green Potion,,,For the rest of the day when you reach 0 hits you become MUTE. You may resist one MUTE per REFRESH as long as you have more than 0 hits. TOXICITY 1.,,,norm,,1,,
10,sac alchemist,P005,Sticky Black Brew,,,"Your religious alignment changes to ""The Experimental Alchemist."" TOXICITY 1.",,,norm,,1,,
10,venom cleave,P006,Viscous Red Elixir,,,When you drink this potion take a VENOM. For the rest of the day while you are VENOMED you may call CLEAVE once per REFRESH. TOXICITY 1. ,,,norm,,1,,
